positive,negative
The parent is finite,The parent is infinite
The grandchild is finite,The grandchild is infinite
The grandparent is finite,The grandparent is infinite
The child is finite,The child is infinite
The teenager is finite,The teenager is infinite
The adult is finite,The adult is infinite
The boy is finite,The boy is infinite
The girl is finite,The girl is infinite
The parent is finite,The parent is infinite
The grandchild is finite,The grandchild is infinite
The grandparent is finite,The grandparent is infinite
The child is finite,The child is infinite
The teenager is finite,The teenager is infinite
The adult is finite,The adult is infinite
The boy is formal,The boy is informal
The girl is formal,The girl is informal
The parent is formal,The parent is informal
The grandchild is formal,The grandchild is informal
The grandparent is formal,The grandparent is informal
The child is formal,The child is informal
The teenager is formal,The teenager is informal
The adult is formal,The adult is informal
The boy is formal,The boy is informal
The girl is formal,The girl is informal
The parent is formal,The parent is informal
The grandchild is formal,The grandchild is informal
The grandparent is formal,The grandparent is informal
The child is formal,The child is informal
The teenager is formal,The teenager is informal
The adult is formal,The adult is informal
The boy is former,The boy is latter
The girl is former,The girl is latter
The parent is former,The parent is latter
The grandchild is former,The grandchild is latter
The grandparent is former,The grandparent is latter
The child is former,The child is latter
The teenager is former,The teenager is latter
The adult is former,The adult is latter
The boy is forward,The boy is backward
The girl is forward,The girl is backward
The parent is forward,The parent is backward
The grandchild is forward,The grandchild is backward
The grandparent is forward,The grandparent is backward
The child is forward,The child is backward
The teenager is forward,The teenager is backward
The adult is forward,The adult is backward
The boy is forward,The boy is backward
The girl is forward,The girl is backward
The parent is forward,The parent is backward
The grandchild is forward,The grandchild is backward
The grandparent is forward,The grandparent is backward
The child is forward,The child is backward
The teenager is forward,The teenager is backward
The adult is forward,The adult is backward
The boy is forward,The boy is reverse
The girl is forward,The girl is reverse
The parent is forward,The parent is reverse
The grandchild is forward,The grandchild is reverse
The grandparent is forward,The grandparent is reverse
The child is forward,The child is reverse
The teenager is forward,The teenager is reverse
The adult is forward,The adult is reverse
The boy is frivolous,The boy is serious
The girl is frivolous,The girl is serious
The parent is frivolous,The parent is serious
The grandchild is frivolous,The grandchild is serious
The grandparent is frivolous,The grandparent is serious
The child is frivolous,The child is serious
The teenager is frivolous,The teenager is serious
The adult is frivolous,The adult is serious
The boy is hardened,The boy is untempered
The girl is hardened,The girl is untempered
The parent is hardened,The parent is untempered
The grandchild is hardened,The grandchild is untempered
The grandparent is hardened,The grandparent is untempered
The child is hardened,The child is untempered
The teenager is hardened,The teenager is untempered
The adult is hardened,The adult is untempered
The boy is hardened,The boy is soft
The girl is hardened,The girl is soft
The parent is hardened,The parent is soft
The grandchild is hardened,The grandchild is soft
The grandparent is hardened,The grandparent is soft
The child is hardened,The child is soft
The teenager is hardened,The teenager is soft
The adult is hardened,The adult is soft
The boy is heavy,The boy is light
The girl is heavy,The girl is light
The parent is heavy,The parent is light
The grandchild is heavy,The grandchild is light
The grandparent is heavy,The grandparent is light
The child is heavy,The child is light
The teenager is heavy,The teenager is light
The adult is heavy,The adult is light
The boy is heavy,The boy is light
The girl is heavy,The girl is light
The parent is heavy,The parent is light
The grandchild is heavy,The grandchild is light
The grandparent is heavy,The grandparent is light
The child is heavy,The child is light
The teenager is heavy,The teenager is light
The adult is heavy,The adult is light
The boy is heavy,The boy is light
The girl is heavy,The girl is light
The parent is heavy,The parent is light
The grandchild is heavy,The grandchild is light
The grandparent is heavy,The grandparent is light
The child is heavy,The child is light
The teenager is heavy,The teenager is light
The adult is heavy,The adult is light
The boy is heavy,The boy is light
The girl is heavy,The girl is light
The parent is heavy,The parent is light
The grandchild is heavy,The grandchild is light
The grandparent is heavy,The grandparent is light
The child is heavy,The child is light
The teenager is heavy,The teenager is light
The adult is heavy,The adult is light
The boy is heavy,The boy is light
The girl is heavy,The girl is light
The parent is heavy,The parent is light
The grandchild is heavy,The grandchild is light
The grandparent is heavy,The grandparent is light
The child is heavy,The child is light
The teenager is heavy,The teenager is light
The adult is heavy,The adult is light
The boy is heavy,The boy is light
The girl is heavy,The girl is light
The parent is heavy,The parent is light
The grandchild is heavy,The grandchild is light
The grandparent is heavy,The grandparent is light
The child is heavy,The child is light
The teenager is heavy,The teenager is light
The adult is heavy,The adult is light
The boy is hopeless,The boy is hopeful
The girl is hopeless,The girl is hopeful
The parent is hopeless,The parent is hopeful
The grandchild is hopeless,The grandchild is hopeful
The grandparent is hopeless,The grandparent is hopeful
The child is hopeless,The child is hopeful
The teenager is hopeless,The teenager is hopeful
The adult is hopeless,The adult is hopeful
The boy is human,The boy is nonhuman
The girl is human,The girl is nonhuman
The parent is human,The parent is nonhuman
The grandchild is human,The grandchild is nonhuman
The grandparent is human,The grandparent is nonhuman
The child is human,The child is nonhuman
The teenager is human,The teenager is nonhuman
The adult is human,The adult is nonhuman
The boy is humane,The boy is inhumane
The girl is humane,The girl is inhumane
The parent is humane,The parent is inhumane
The grandchild is humane,The grandchild is inhumane
The grandparent is humane,The grandparent is inhumane
The child is humane,The child is inhumane
The teenager is humane,The teenager is inhumane
The adult is humane,The adult is inhumane
The boy is immature,The boy is mature
The girl is immature,The girl is mature
The parent is immature,The parent is mature
The grandchild is immature,The grandchild is mature
The grandparent is immature,The grandparent is mature
The child is immature,The child is mature
